Dry sand - Load to 45.20% strain then unload to 0 pressure,,,,,
Engineering,,,,,
volumetric,,,,,
strain,pressure,,,,
(%),(MPa),,,,Unload@45.20 strain
9.25187,16.7365,,,,
9.27681,16.8012,,,,
9.30175,16.8662,,,,
9.32668,16.9314,,,,
9.35162,16.9968,,,,
9.37656,17.0623,,,,
9.4015,17.1281,,,,
9.42643,17.1941,,,,
9.45137,17.2602,,,,
9.47631,17.3266,,,,
9.50125,17.3932,,,,
9.52618,17.46,,,,
9.55112,17.527,,,,
9.57606,17.5942,,,,
9.601,17.6616,,,,
9.62593,17.7292,,,,
9.65087,17.797,,,,
9.67581,17.8651,,,,
9.70075,17.9334,,,,
9.72569,18.0018,,,,
9.75062,18.0705,,,,
9.77556,18.1394,,,,
9.8005,18.2086,,,,
9.82544,18.2779,,,,
9.85037,18.3475,,,,
9.87531,18.4172,,,,
9.90025,18.4873,,,,
9.92519,18.5575,,,,
9.95012,18.628,,,,
9.97506,18.6986,,,,
10,18.7696,,,,
10.0499,18.9121,,,,
10.0998,19.0555,,,,
10.1496,19.1999,,,,
10.1995,19.3452,,,,
10.2494,19.4914,,,,
10.2993,19.6387,,,,
10.3491,19.7869,,,,
10.399,19.9361,,,,
10.4489,20.0862,,,,
10.4988,20.2374,,,,
10.5486,20.3896,,,,
10.5985,20.5428,,,,
10.6484,20.6971,,,,
10.6983,20.8524,,,,
10.7481,21.0087,,,,
10.798,21.1661,,,,
10.8479,21.3246,,,,
10.8978,21.4842,,,,
10.9476,21.6448,,,,
10.9975,21.8066,,,,
11.0474,21.9695,,,,
11.0973,22.1335,,,,
11.1471,22.2987,,,,
11.197,22.465,,,,
11.2469,22.6325,,,,
11.2968,22.8012,,,,
11.3466,22.971,,,,
11.3965,23.1421,,,,
11.4464,23.3143,,,,
11.4963,23.4878,,,,
11.5461,23.6625,,,,
11.596,23.8385,,,,
11.6459,24.0157,,,,
11.6958,24.1942,,,,
11.7456,24.3739,,,,
11.7955,24.555,,,,
11.8454,24.7374,,,,
11.8953,24.921,,,,
11.9451,25.1061,,,,
11.995,25.2924,,,,
12.0449,25.4801,,,,
12.0948,25.6692,,,,
12.1446,25.8597,,,,
12.1945,26.0516,,,,
12.2444,26.2449,,,,
12.2943,26.4396,,,,
12.3441,26.6357,,,,
12.394,26.8333,,,,
12.4439,27.0323,,,,
12.4938,27.2329,,,,
12.5436,27.4349,,,,
12.5935,27.6384,,,,
12.6434,27.8435,,,,
12.6933,28.05,,,,
12.7431,28.2582,,,,
12.793,28.4679,,,,
12.8429,28.6791,,,,
12.8928,28.892,,,,
12.9426,29.1064,,,,
12.9925,29.3225,,,,
13.0424,29.5402,,,,
13.0923,29.7596,,,,
13.1421,29.9806,,,,
13.192,30.2033,,,,
13.2419,30.4277,,,,
13.2918,30.6538,,,,
13.3416,30.8817,,,,
13.3915,31.1112,,,,
13.4414,31.3426,,,,
13.4913,31.5757,,,,
13.5411,31.8106,,,,
13.591,32.0473,,,,
13.6409,32.2858,,,,
13.6908,32.5262,,,,
13.7406,32.7684,,,,
13.7905,33.0125,,,,
13.8404,33.2585,,,,
13.8903,33.5064,,,,
13.9401,33.7562,,,,
13.99,34.0079,,,,
14.0399,34.2616,,,,
14.0898,34.5173,,,,
14.1397,34.7749,,,,
14.1895,35.0346,,,,
14.2394,35.2963,,,,
14.2893,35.56,,,,
14.3392,35.8258,,,,
14.389,36.0937,,,,
14.4389,36.3637,,,,
14.4888,36.6358,,,,
14.5387,36.91,,,,
14.5885,37.1864,,,,
14.6384,37.4649,,,,
14.6883,37.7457,,,,
14.7382,38.0286,,,,
14.788,38.3138,,,,
14.8379,38.6012,,,,
14.8878,38.8909,,,,
14.9377,39.1829,,,,
14.9875,39.4772,,,,
15.0374,39.7738,,,,
15.0873,40.0728,,,,
15.1372,40.3741,,,,
15.187,40.6778,,,,
15.2369,40.984,,,,
15.2868,41.2925,,,,
15.3367,41.6035,,,,
15.3865,41.917,,,,
15.4364,42.2329,,,,
15.4863,42.5514,,,,
15.5362,42.8724,,,,
15.586,43.1959,,,,
15.6359,43.5221,,,,
15.6858,43.8508,,,,
15.7357,44.1821,,,,
15.7855,44.5161,,,,
15.8354,44.8528,,,,
15.8853,45.1921,,,,
15.9352,45.5342,,,,
15.985,45.8789,,,,
16.0349,46.2265,,,,
16.0848,46.5768,,,,
16.1347,46.9299,,,,
16.1845,47.2858,,,,
16.2344,47.6446,,,,
16.2843,48.0062,,,,
16.3342,48.3707,,,,
16.384,48.7382,,,,
16.4339,49.1086,,,,
16.4838,49.4819,,,,
16.5337,49.8583,,,,
16.5835,50.2377,,,,
16.6334,50.6201,,,,
16.6833,51.0055,,,,
16.7332,51.3941,,,,
16.783,51.7858,,,,
16.8329,52.1806,,,,
16.8828,52.5786,,,,
16.9327,52.9798,,,,
16.9825,53.3842,,,,
17.0324,53.7918,,,,
17.0823,54.2027,,,,
17.1322,54.6169,,,,
17.182,55.0344,,,,
17.2319,55.4553,,,,
17.2818,55.8796,,,,
17.3317,56.3073,,,,
17.3815,56.7384,,,,
17.4314,57.1729,,,,
17.4813,57.611,,,,
17.5312,58.0526,,,,
17.581,58.4977,,,,
17.6309,58.9464,,,,
17.6808,59.3986,,,,
17.7307,59.8546,,,,
17.7805,60.3142,,,,
17.8304,60.7774,,,,
17.8803,61.2444,,,,
17.9302,61.7152,,,,
17.98,62.1897,,,,
18.0299,62.668,,,,
18.0798,63.1502,,,,
18.1297,63.6362,,,,
18.1796,64.1262,,,,
18.2294,64.62,,,,
18.2793,65.1179,,,,
18.3292,65.6197,,,,
18.3791,66.1255,,,,
18.4289,66.6354,,,,
18.4788,67.1494,,,,
18.5287,67.6675,,,,
18.5786,68.1898,,,,
18.6284,68.7163,,,,
18.6783,69.2469,,,,
18.7282,69.7819,,,,
18.7781,70.3211,,,,
