Hydrostat,,,,,
,,,,,
,,,,,
Dry sand,,,,,
Engineering,,,,,
volumetric,,,,,
strain,pressure,,,,
(%),(MPa),,,,Loading
14.59,37.1864,,,,
14.64,37.4649,,,,
14.69,37.7457,,,,
14.74,38.0286,,,,
14.79,38.3138,,,,
14.84,38.6012,,,,
14.89,38.8909,,,,
14.94,39.1829,,,,
14.99,39.4772,,,,
15.04,39.7738,,,,
15.09,40.0728,,,,
15.14,40.3741,,,,
15.19,40.6778,,,,
15.24,40.984,,,,
15.29,41.2925,,,,
15.34,41.6035,,,,
15.39,41.917,,,,
15.44,42.2329,,,,
15.49,42.5514,,,,
15.54,42.8724,,,,
15.59,43.1959,,,,
15.64,43.5221,,,,
15.69,43.8508,,,,
15.74,44.1821,,,,
15.79,44.5161,,,,
15.84,44.8528,,,,
15.89,45.1921,,,,
15.94,45.5342,,,,
15.99,45.8789,,,,
16.03,46.2265,,,,
16.08,46.5768,,,,
16.13,46.9299,,,,
16.18,47.2858,,,,
16.23,47.6446,,,,
16.28,48.0062,,,,
16.33,48.3707,,,,
16.38,48.7382,,,,
16.43,49.1086,,,,
16.48,49.4819,,,,
16.53,49.8583,,,,
16.58,50.2377,,,,
16.63,50.6201,,,,
16.68,51.0055,,,,
16.73,51.3941,,,,
16.78,51.7858,,,,
16.83,52.1806,,,,
16.88,52.5786,,,,
16.93,52.9798,,,,
16.98,53.3842,,,,
17.03,53.7918,,,,
17.08,54.2027,,,,
17.13,54.6169,,,,
17.18,55.0344,,,,
17.23,55.4553,,,,
17.28,55.8796,,,,
17.33,56.3073,,,,
17.38,56.7384,,,,
17.43,57.1729,,,,
17.48,57.611,,,,
17.53,58.0526,,,,
17.58,58.4977,,,,
17.63,58.9464,,,,
17.68,59.3986,,,,
17.73,59.8546,,,,
17.78,60.3142,,,,
17.83,60.7774,,,,
17.88,61.2444,,,,
17.93,61.7152,,,,
17.98,62.1897,,,,
18.03,62.668,,,,
18.08,63.1502,,,,
18.13,63.6362,,,,
18.18,64.1262,,,,
18.23,64.62,,,,
18.28,65.1179,,,,
18.33,65.6197,,,,
18.38,66.1255,,,,
18.43,66.6354,,,,
18.48,67.1494,,,,
18.53,67.6675,,,,
18.58,68.1898,,,,
18.63,68.7163,,,,
18.68,69.2469,,,,
18.73,69.7819,,,,
18.78,70.3211,,,,
18.83,70.8646,,,,
18.88,71.4125,,,,
18.93,71.9648,,,,
18.98,72.5215,,,,
19.03,73.0826,,,,
19.08,73.6483,,,,
19.13,74.2184,,,,
19.18,74.7931,,,,
19.23,75.3725,,,,
19.28,75.9564,,,,
19.33,76.545,,,,
19.38,77.1384,,,,
19.43,77.7364,,,,
19.48,78.3393,,,,
19.53,78.9469,,,,
19.58,79.5594,,,,
19.63,80.1768,,,,
19.68,80.7991,,,,
19.73,81.4264,,,,
19.78,82.0587,,,,
19.83,82.696,,,,
19.88,83.3384,,,,
19.93,83.986,,,,
19.98,84.6386,,,,
20.02,85.2965,,,,
20.07,85.9596,,,,
20.12,86.628,,,,
20.17,87.3017,,,,
20.22,87.9808,,,,
20.27,88.6652,,,,
20.32,89.3551,,,,
20.37,90.0505,,,,
20.42,90.7514,,,,
20.47,91.4579,,,,
20.52,92.1699,,,,
20.57,92.8877,,,,
20.62,93.6111,,,,
20.67,94.3402,,,,
20.72,95.0751,,,,
20.77,95.8159,,,,
20.82,96.5625,,,,
20.87,97.315,,,,
20.92,98.0735,,,,
20.97,98.838,,,,
21.02,99.6085,,,,
21.07,100.385,,,,
21.12,101.168,,,,
21.17,101.957,,,,
21.22,102.752,,,,
21.27,103.553,,,,
21.32,104.361,,,,
21.37,105.175,,,,
21.42,105.996,,,,
21.47,106.823,,,,
21.52,107.656,,,,
21.57,108.496,,,,
21.62,109.343,,,,
21.67,110.196,,,,
21.72,111.056,,,,
21.77,111.923,,,,
21.82,112.797,,,,
21.87,113.677,,,,
21.92,114.565,,,,
21.97,115.459,,,,
22.02,116.361,,,,
22.07,117.269,,,,
22.12,118.185,,,,
22.17,119.107,,,,
22.22,120.037,,,,
22.27,120.974,,,,
22.32,121.919,,,,
22.37,122.871,,,,
22.42,123.83,,,,
22.47,124.797,,,,
22.52,125.772,,,,
22.57,126.754,,,,
22.62,127.743,,,,
22.67,128.741,,,,
22.72,129.746,,,,
22.77,130.759,,,,
22.82,131.78,,,,
22.87,132.809,,,,
22.92,133.846,,,,
22.97,134.891,,,,
23.02,135.944,,,,
23.07,137.005,,,,
23.12,138.072,,,,
23.17,139.141,,,,
23.22,140.212,,,,
23.27,141.286,,,,
23.32,142.362,,,,
23.37,143.44,,,,
23.42,144.521,,,,
23.47,145.606,,,,
23.52,146.694,,,,
23.57,147.785,,,,
23.62,148.88,,,,
23.67,149.979,,,,
23.72,151.083,,,,
23.77,152.19,,,,
23.82,153.302,,,,
23.87,154.419,,,,
23.92,155.54,,,,
23.97,156.666,,,,
24.02,157.798,,,,
24.06,158.935,,,,
24.11,160.078,,,,
24.16,161.227,,,,
24.21,162.381,,,,
24.26,163.542,,,,
24.31,164.709,,,,
24.36,165.882,,,,
24.41,167.062,,,,
24.46,168.249,,,,
24.51,169.443,,,,
24.56,170.644,,,,
24.61,171.853,,,,
24.66,173.069,,,,
24.71,174.293,,,,
24.76,175.525,,,,
24.81,176.765,,,,
24.86,178.014,,,,
24.91,179.271,,,,
24.96,180.536,,,,
25.01,181.811,,,,
25.06,183.094,,,,
25.11,184.387,,,,
25.16,185.689,,,,
25.21,187.001,,,,
25.26,188.322,,,,
25.31,189.654,,,,
25.36,190.996,,,,
25.41,192.348,,,,
25.46,193.71,,,,
25.51,195.083,,,,
25.56,196.468,,,,
25.61,197.863,,,,
25.66,199.269,,,,
25.71,200.688,,,,
25.76,202.117,,,,
25.81,203.559,,,,
25.86,205.012,,,,
25.91,206.478,,,,
25.96,207.957,,,,
26.01,209.448,,,,
26.06,210.952,,,,
26.11,212.469,,,,
26.16,213.999,,,,
26.21,215.542,,,,
26.26,217.099,,,,
26.31,218.67,,,,
26.36,220.256,,,,
26.41,221.855,,,,
26.46,223.469,,,,
26.51,225.097,,,,
26.56,226.74,,,,
26.61,228.399,,,,
26.66,230.072,,,,
26.71,231.761,,,,
26.76,233.466,,,,
26.81,235.187,,,,
26.86,236.924,,,,
26.91,238.677,,,,
26.96,240.446,,,,
27.01,242.233,,,,
27.06,244.036,,,,
27.11,245.856,,,,
27.16,247.694,,,,
