Yield surface,
,
Dry sand,
,Deviatoric
pressure,yield
(MPa),stress (MPa)
2135.43,986.031
2171.34,986.999
2207.77,987.913
2244.72,988.773
2282.18,989.584
2320.16,990.346
2358.67,991.062
2397.71,991.733
2437.29,992.362
2477.41,992.951
2518.08,993.502
2559.3,994.016
2601.08,994.496
2643.41,994.943
2686.31,995.358
2729.79,995.745
2773.84,996.104
2818.47,996.436
2863.68,996.745
2909.49,997.03
2955.9,997.293
3002.9,997.536
3050.52,997.759
3098.75,997.966
3147.59,998.155
3197.06,998.329
3247.16,998.488
3297.9,998.634
3349.28,998.767
3401.3,998.889
3453.97,999
3507.31,999.101
3561.3,999.193
3615.97,999.277
3671.32,999.353
3727.34,999.421
3784.06,999.483
3841.47,999.539
3899.58,999.59
3958.4,999.635
4017.93,999.676
4078.18,999.713
4139.16,999.746
4200.87,999.776
4263.32,999.802
4326.52,999.825
4390.48,999.847
4455.19,999.865
4520.67,999.882
4586.92,999.896
4653.96,999.909
4721.79,999.921
4790.41,999.931
4859.83,999.94
4930.07,999.948
5001.12,999.955
